simulations	actions	length	tokens	accuracy
12	8	11	1967.8514025777104	0.5875663381349507
48	38	8	19676.47308567096	0.5375284306292646
31	14	16	6538.012888551933	0.5534495830174374
12	8	12	1981.1417740712661	0.5799848369977255
20	8	9	2784.566338134951	0.5602729340409401
36	18	13	9216.400303260045	0.5678544351781653
46	20	20	11767.99393479909	0.5572403335860501
22	8	12	3067.128885519333	0.5693707354056103
40	20	20	10633.927975739196	0.5511751326762699
30	14	18	6425.058377558757	0.5633055344958302
28	14	18	6004.956785443518	0.5640636846095527
28	14	14	5977.349507202426	0.5724033358605004
22	9	8	3412.0826383623958	0.5784685367702805
36	27	8	12133.686125852919	0.5481425322213799
40	14	14	7520.194844579227	0.5489006823351024
28	14	16	6006.957543593631	0.5663381349507203
18	8	10	2671.8059135708872	0.5731614859742229
28	18	8	7213.347232752085	0.5633055344958302
31	14	18	6568.416224412434	0.5655799848369977
45	22	15	12094.319939347992	0.5428354814253222
24	13	8	4987.539044730856	0.5807429871114481
50	24	16	14169.059893858985	0.5489006823351024
32	14	18	6894.956785443518	0.5663381349507203
22	8	10	3069.6906747536013	0.5610310841546626
42	14	14	7895.974222896133	0.5534495830174374
24	14	8	5338.467020470053	0.5670962850644428
48	39	8	20155.428354814252	0.5238817285822593
46	20	20	11400.206974981047	0.5579984836997726
44	14	14	8037.777103866566	0.5526914329037149
12	9	8	2093.4958301743745	0.5663381349507203
9	7	8	1338.5557240333585	0.5693707354056103
28	14	16	5918.796815769522	0.5602729340409401
28	14	14	6023.564821834723	0.579226686884003
42	20	20	10991.467020470052	0.5655799848369977
24	15	8	5502.061410159212	0.5489006823351024
27	15	12	6203.022744503412	0.5633055344958302
18	8	8	2649.3669446550416	0.5815011372251706
14	8	9	2280.292645943897	0.5815011372251706
29	14	16	6123.276724791509	0.5822592873388931
30	14	14	6261.255496588325	0.5754359363153905
28	14	18	6003.047005307051	0.5678544351781653
44	14	14	7957.704321455648	0.5670962850644428
14	8	12	2266.188779378317	0.5625473843821076
44	20	20	11447.400303260045	0.5640636846095527
34	14	14	6839.8347232752085	0.5670962850644428
16	8	11	2546.579226686884	0.5799848369977255
18	11	10	3542.4245640636846	0.5815011372251706
40	29	8	14498.219105382866	0.5451099317664898
36	14	14	7010.697498104625	0.5739196360879454
14	8	11	2281.9681576952235	0.5852918877937832
20	8	12	2857.262319939348	0.5981804397270659
18	8	9	2706.7263078089463	0.5754359363153905
32	14	18	6503.944655041698	0.5731614859742229
5	6	8	637.3805913570887	0.5451099317664898
6	8	10	930.021986353298	0.5496588324488249
9	7	11	1349.4632297194844	0.5739196360879454
7	10	12	1273.2342683851402	0.5610310841546626
9	9	12	1519.3836239575437	0.5701288855193328
7	6	8	951.2903714935558	0.5678544351781653
8	11	12	1522.7642153146323	0.5617892342683851
5	10	9	969.6072782410918	0.5724033358605004
9	6	8	1246.2888551933283	0.5602729340409401
9	6	12	1277.0416982562547	0.5648218347232752
8	10	12	1429.0121304018196	0.555724033358605
7	11	8	1329.3237300985595	0.5678544351781653
6	10	11	1104.972706595906	0.5549658832448825
5	8	12	807.9620924943139	0.5367702805155421
9	7	9	1358.633813495072	0.5739196360879454
6	7	11	851.7998483699772	0.5420773313115997
6	8	9	929.7482941622442	0.5413191811978771
7	7	11	995.4647460197119	0.5648218347232752
7	7	10	984.7892342683851	0.5534495830174374
6	7	8	839.1319181197878	0.5496588324488249
5	6	9	651.7179681576952	0.5511751326762699
7	9	11	1166.5072024260803	0.5504169825625473
6	11	9	1188.0970432145564	0.5640636846095527
8	11	10	1516.3093252463989	0.5724033358605004
5	8	10	808.4988627748294	0.5443517816527672
9	6	9	1269.7695223654284	0.5731614859742229
7	9	8	1145.3275208491282	0.5549658832448825
7	10	8	1239.1463229719484	0.5633055344958302
6	6	11	776.8885519332828	0.5526914329037149
5	11	9	1069.6709628506444	0.5784685367702805
9	10	8	1615.5094768764216	0.5686125852918877
6	9	12	1026.915087187263	0.5579984836997726
5	10	10	988.5822592873388	0.5572403335860501
8	8	11	1222.0144048521606	0.5670962850644428
9	8	12	1454.582259287339	0.5693707354056103
8	11	9	1539.1394996209249	0.5633055344958302
6	7	10	843.0090978013646	0.5269143290371494
7	11	10	1341.3555724033358	0.577710386656558
6	6	8	771.942380591357	0.5473843821076573
9	11	8	1699.4503411675512	0.5595147839272175
8	6	12	1120.811220621683	0.5670962850644428
6	10	9	1096.4503411675512	0.558756633813495
5	8	8	810.6868840030326	0.5625473843821076
7	6	12	948.543593631539	0.5481425322213799
9	8	8	1433.0621683093252	0.5473843821076573
6	7	12	841.3487490523123	0.5443517816527672
9	10	12	1621.764973464746	0.5693707354056103
5	10	8	975.1842304776346	0.5579984836997726
9	11	10	1674.92873388931	0.5708870356330553
7	10	10	1235.9855951478394	0.558756633813495
6	11	12	1169.3335860500379	0.5549658832448825
7	8	9	1062.9924184988627	0.558756633813495
5	9	10	898.7740712661107	0.5489006823351024
5	7	12	726.614859742229	0.5481425322213799
8	10	10	1389.4647460197118	0.5701288855193328
9	9	9	1533.051554207733	0.5670962850644428
9	6	11	1265.9226686884003	0.5663381349507203
9	9	8	1499.4268385140258	0.5693707354056103
5	7	10	729.5769522365429	0.5473843821076573
6	11	8	1193.4556482183473	0.5504169825625473
9	11	12	1707.4791508718727	0.5799848369977255
8	10	9	1418.7338893100834	0.574677786201668
7	9	12	1159.4329037149355	0.5451099317664898
5	10	12	990.4131918119788	0.5686125852918877
61	20	16	14304.604245640638	0.5367702805155421
53	20	14	12879.944655041698	0.5519332827899924
64	20	12	14526.402577710387	0.5413191811978771
62	20	14	14297.275966641395	0.5519332827899924
55	20	16	12958.31159969674	0.555724033358605
61	20	14	13776.614859742229	0.5489006823351024
64	20	16	14452.921152388173	0.5458680818802123
53	20	12	12593.587566338136	0.5534495830174374
48	22	14	12950.53980288097	0.5435936315390447
48	22	14	12706.894617134192	0.5504169825625473
50	22	20	14007.447308567096	0.5595147839272175
58	20	18	13790.565579984837	0.5489006823351024
61	20	12	13484.647460197119	0.5511751326762699
64	24	16	16724.313115996967	0.5344958301743745
50	22	14	13163.558756633813	0.5610310841546626
49	22	14	13017.548900682335	0.5511751326762699
52	20	18	12623.548900682335	0.558756633813495
53	20	16	12487.20166793025	0.5443517816527672
53	20	18	12547.809704321455	0.5617892342683851
50	22	14	13285.650492797575	0.5678544351781653
62	20	12	14063.061410159211	0.5405610310841547
52	22	14	14148.322971948446	0.5451099317664898
55	20	18	13055.724033358605	0.5382865807429871
49	22	16	12963.288855193328	0.5572403335860501
58	20	14	13408.937831690675	0.5489006823351024
57	20	12	12796.730856709628	0.5489006823351024
50	28	14	16743.401819560273	0.535253980288097
50	22	18	13380.795299469295	0.555724033358605
50	24	14	14605.40712661107	0.5489006823351024
62	20	16	14200.335102350266	0.5420773313115997
60	20	18	13752.514025777104	0.5420773313115997
48	22	16	12729.628506444276	0.55420773313116
52	20	20	12639.224412433661	0.5549658832448825
58	20	12	13476.448824867324	0.55420773313116
51	22	14	13098.977255496588	0.5473843821076573
49	22	16	13894.517816527672	0.5534495830174374
50	26	14	15797.68233510235	0.5443517816527672
57	24	16	15797.883244882487	0.5519332827899924
49	22	14	13157.259287338893	0.5428354814253222
55	24	16	15445.372251705838	0.5375284306292646
48	22	16	13106.011372251705	0.5564821834723275
50	24	16	14355.251705837756	0.5549658832448825
52	20	14	12351.83472327521	0.5481425322213799
58	24	16	15968.432903714936	0.5496588324488249
52	20	12	12303.726307808945	0.5511751326762699
57	20	14	13134.25473843821	0.5595147839272175
60	20	14	13810.291129643669	0.5451099317664898
55	20	12	12687.919636087945	0.5549658832448825
52	20	16	12501.45792266869	0.5451099317664898
62	20	18	14526.668688400303	0.5481425322213799
61	24	16	16466.791508718725	0.5504169825625473
64	20	14	14316.76573161486	0.5526914329037149
52	22	14	13376.588324488248	0.5534495830174374
50	22	16	13075.224412433661	0.55420773313116
60	20	16	13756.502653525398	0.5481425322213799
57	20	16	13088.943896891584	0.5511751326762699
60	20	12	13720.355572403336	0.5564821834723275
58	20	16	13346.640636846096	0.5443517816527672
55	20	14	12952.679302501896	0.5504169825625473
57	20	18	13175.25473843821	0.5473843821076573
50	22	16	13513.681576952236	0.5617892342683851
51	22	14	12953.465504169826	0.5382865807429871
